Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN,RRR,Rentabilidad,RR,,
1503792000,27/08/2017,ETHMXN,5811,6000,5805,6000,911.66,5427554.4,-20.73141303,-20.73%,,,
1503705600,26/08/2017,ETHMXN,5777,5868,5740,5811,617.01,3582091.14,-5.510445536,-5.51%,,,
1503619200,25/08/2017,ETHMXN,5618.02,5879.99,5610.39,5777,1797.12,10386538.3,-8.846376425,-8.85%,,,
1503532800,24/08/2017,ETHMXN,5650,5749,5551.01,5618.02,1150.66,6504370.31,2.779274503,2.78%,,,
1503446400,23/08/2017,ETHMXN,5605,5792.99,5470,5650,1637.15,9254786.81,-2.748679107,-2.75%,,,
1503360000,22/08/2017,ETHMXN,5699,5875,5255,5605,2638.61,14557657.97,3.562481761,3.56%,,,
1503273600,21/08/2017,ETHMXN,5375,6022.1,5251.69,5699,5311.47,30344678.48,-6.100006213,-6.10%,,,
1503187200,20/08/2017,ETHMXN,5269.42,5375,5161.01,5375,376.03,1989022.16,-28.077547,-28.08%,,,
1503100800,19/08/2017,ETHMXN,5190,5316.99,5115,5269.42,628.86,3273354.25,-12.62920205,-12.63%,,,
1503014400,18/08/2017,ETHMXN,5299,5390,5050,5190,2010.49,10596291.14,5.421563897,5.42%,,,
1502928000,17/08/2017,ETHMXN,5205.03,5398.9,5205.03,5299,1202.17,6390467.38,-7.816698138,-7.82%,,,
1502841600,16/08/2017,ETHMXN,5147,5366,4925.56,5205.03,1980.03,10312267.07,-2.930763675,-2.93%,,,
1502755200,15/08/2017,ETHMXN,5329.91,5368.89,4557.01,5147,4789.51,24150692.57,3.818971043,3.82%,,,
1502668800,14/08/2017,ETHMXN,5183.02,5450,5183.02,5329.91,2321.57,12341640.71,-6.327183759,-6.33%,,,
1502582400,13/08/2017,ETHMXN,5410,5499.99,5100,5183.02,1998.41,10508226.48,11.35802963,11.36%,,,
1502496000,12/08/2017,ETHMXN,5400.11,5644,5320,5410,2095.77,11578633.71,-0.471902928,-0.47%,,,
1502409600,11/08/2017,ETHMXN,5326.64,5479,5218.51,5400.11,1765.26,9409953.55,-4.161993134,-4.16%,,,
1502323200,10/08/2017,ETHMXN,5200.01,5450,5050.01,5326.64,2206.36,11748096.53,-5.739317247,-5.74%,,,
1502236800,09/08/2017,ETHMXN,5399,5650,4501.9,5200.01,8623.04,44840512.83,2.307654841,2.31%,,,
1502150400,08/08/2017,ETHMXN,4739.99,5490,4650,5399,5505.04,28408457.79,-11.97103018,-11.97%,,,
1502064000,07/08/2017,ETHMXN,4530,4744.97,4380.01,4739.99,3099.01,14154634.38,-6.776034927,-6.78%,,,
1501977600,06/08/2017,ETHMXN,4299.95,4680,4250,4530,2446.66,10944590.61,-9.402614176,-9.40%,,,
1501891200,05/08/2017,ETHMXN,3911,4500,3880,4299.95,4639.17,19473828.93,-8.384042835,-8.38%,,,
1501804800,04/08/2017,ETHMXN,3959.88,3970,3817.01,3911,1716.26,6709467.02,2.848053325,2.85%,,,
1501718400,03/08/2017,ETHMXN,3821,3963.24,3800,3959.88,1974.9,7737421.23,-7.032254798,-7.03%,,,
1501632000,02/08/2017,ETHMXN,3879.92,3949.56,3752.86,3821,2590.5,10012651.46,2.274464389,2.27%,,,
1501545600,01/08/2017,ETHMXN,3400,3977,3370,3879.92,4503.81,16799542.6,-10.65586692,-10.66%,,,
1501459200,31/07/2017,ETHMXN,3379.99,3409.99,2700,3400,3957.25,12600483.31,-0.505654179,-0.51%,,,
1501372800,30/07/2017,ETHMXN,3514.99,3548,3267.03,3379.99,1211.77,4103464.67,11.14072803,11.14%,,,
1501286400,29/07/2017,ETHMXN,3261.56,3540,3063,3514.99,2510.96,8198420.94,-10.0929525,-10.09%,,,
1501200000,28/07/2017,ETHMXN,3550,3592.43,3255,3261.56,3140.17,10611720.81,9.185489958,9.19%,,,
1501113600,27/07/2017,ETHMXN,3589.49,3649,3500,3550,1019.74,3637575.64,3.87255575,3.87%,,,
1501027200,26/07/2017,ETHMXN,3599.99,3710,3450,3589.49,1610.85,5735423.63,0.651829779,0.65%,,,
